time,mag_max,event_count,mag_mean,mag_sum,longitude_mean,latitude_mean,depth_mean,time_diff_mean,time_diff_std,depth_std,latitude_std,longitude_std,mag_scatter,weight_richter,weight_Mw
02/01/1973,2.98,1,2.98,2.98,-117.3475,33.6293333,6.1,204245.84,12622.8883,4.395894803,1.685833201,2.161687884,0.364389579,1.00E-06,2
03/01/1973,2.98,1,2.98,2.98,-116.3595,34.8158333,6,80029.91,12622.8883,4.395894803,1.685833201,2.161687884,0.364389579,1.00E-06,2
04/01/1973,2.66,1,2.66,2.66,-119.5293333,34.258,3.09,156690.83,12622.8883,4.395894803,1.685833201,2.161687884,0.364389579,1.00E-06,1
06/01/1973,2.32,1,2.32,2.32,-119.1523333,34.4918333,6,105180.62,12622.8883,4.395894803,1.685833201,2.161687884,0.364389579,1.00E-06,1
07/01/1973,2.2,1,2.2,2.2,-118.629,33.8835,6,94050.1,12622.8883,4.395894803,1.685833201,2.161687884,0.364389579,1.00E-06,1
08/01/1973,2.75,1,2.75,2.75,-117.6658333,33.9893333,0.01,100006.83,12622.8883,4.395894803,1.685833201,2.161687884,0.364389579,1.00E-06,1
11/01/1973,2.72,1,2.72,2.72,-118.0703333,35.6926667,6,303321.54,12622.8883,4.395894803,1.685833201,2.161687884,0.364389579,1.00E-06,1
12/01/1973,2.94,1,2.94,2.94,-117.8758333,33.0181667,6,28966.71,12622.8883,4.395894803,1.685833201,2.161687884,0.364389579,1.00E-06,2
13/01/1973,3.32,4,2.85,11.4,-116.4582917,33.47291665,6.28,37531.6075,68234.78518,1.742010333,0.008005223,0.002322902,0.319374388,1.00E-05,2
14/01/1973,2.76,2,2.58,5.16,-118.2148333,35.10491665,6.005,12765.53,9693.995564,0.007071068,0.922892224,0.247487373,0.254558441,1.00E-06,1
16/01/1973,2.21,1,2.21,2.21,-117.4691667,34.1201667,7.28,82625.06,61922.48981,0.725659343,0.366839162,0.177778537,0.300451699,1.00E-06,1
18/01/1973,2.97,3,2.503333333,7.51,-117.8379445,34.82644443,5.316666667,64462.76333,63464.39964,2.176978028,1.064926397,0.296690446,0.434664622,1.00E-06,2
21/01/1973,2.42,1,2.42,2.42,-116.7275,34.96,0.09,45734.95,85935.34826,0.353553391,2.843865599,2.260973933,0.555078823,1.00E-06,1
22/01/1973,3.05,2,2.775,5.55,-115.0163334,35.29783335,5.5,59761.1,72875.64109,0.707106781,2.902201909,1.735711469,0.38890873,1.00E-05,2
23/01/1973,3.53,4,2.74,10.96,-117.9937083,34.2852083,3.1325,27974.7725,14629.02149,3.31221351,1.082738686,1.669471977,0.596992462,1.00E-05,2
24/01/1973,2.84,1,2.84,2.84,-116.3955,34.7955,0.01,29037.76,64525.03736,3.078129828,0.817239476,1.261149063,0.48663522,1.00E-06,1
27/01/1973,3.51,2,3.4,6.8,-118.4704167,34.3885,11.99,151854.065,214213.085,2.375878785,0.020741846,0.036180321,0.155563492,1.00E-05,2
30/01/1973,2.67,2,2.67,5.34,-115.88375,33.80633335,0.225,70616.46,59782.18725,0.304055916,0.023805952,0.084027903,0,1.00E-06,1
31/01/1973,2.67,1,2.67,2.67,-117.3421667,35.1935,6,48627.79,61326.19139,5.233431143,0.350902159,0.318625965,0.181819508,1.00E-06,1
01/02/1973,2.71,3,2.293333333,6.88,-118.0091667,34.587,8.443333333,42778.45333,62870.19554,10.16280637,0.677998367,0.553224027,0.363639015,1.00E-06,1
03/02/1973,2.97,1,2.97,2.97,-116.7508333,34.0405,5.8,215496.93,52351.7632,9.04559367,0.816040441,0.524545669,0.440447403,1.00E-06,2
04/02/1973,3.16,1,3.16,3.16,-118.3425,34.3751667,9.41,9937.64,47092.54702,8.486987319,0.885061478,0.51020649,0.478851597,1.00E-05,2
05/02/1973,3.09,1,3.09,3.09,-118.3741667,34.3845,9.95,83215.43,41833.33085,7.928380969,0.954082515,0.495867311,0.517255791,1.00E-05,2
06/02/1973,3.38,1,3.38,3.38,-118.3405,33.5865,5.55,84194.49,36574.11468,7.369774619,1.023103552,0.481528132,0.555659985,1.00E-05,2
08/02/1973,3.05,1,3.05,3.05,-118.686,33.9421667,6,229034.96,26055.68234,6.252561918,1.161145626,0.452849774,0.632468372,1.00E-05,2
09/02/1973,4.2,5,3.102,15.51,-116.5034333,34.68893332,6.544,21987.826,20796.46617,5.693955567,1.230166664,0.438510595,0.670872566,0.0001,3
12/02/1973,2.83,3,2.686666667,8.06,-118.3902778,35.2427222,4.126666667,76017.60333,96964.78703,3.244708513,0.907066888,0.277769344,0.135769412,1.00E-06,1
13/02/1973,2.48,1,2.48,2.48,-116.8281667,34.3273333,0.01,89771.02,87100.97671,2.779225622,0.756762196,0.232350368,0.14482246,1.00E-06,1
15/02/1973,2.42,1,2.42,2.42,-118.4623333,34.3638333,1.05,167780.56,67373.35607,1.848259841,0.456152811,0.141512417,0.162928556,1.00E-06,1
17/02/1973,3.91,1,3.91,3.91,-118.3375,37.5805,6,162359.67,47645.73544,0.91729406,0.155543425,0.050674466,0.181034651,1.00E-05,3
18/02/1973,2.65,3,2.456666667,7.37,-116.9628889,33.38066667,3.883333333,25652.03667,37781.92512,0.45181117,0.005238733,0.00525549,0.190087699,1.00E-06,1
21/02/1973,5.3,6,3.68,22.08,-119.16375,34.49644443,6.666666667,36282.74,65977.29873,1.632993162,1.107741344,0.399563128,0.835152681,0.001,4
25/02/1973,3.05,1,3.05,3.05,-116.7858333,33.246,8.39,22653.33,34941.45109,1.523244892,0.888451499,1.507509352,0.452594048,1.00E-05,2
26/02/1973,3.6,4,2.805,11.22,-117.3554167,34.557,6.255,36718.285,30995.22262,3.046489783,1.482027103,1.676882924,0.55883808,1.00E-05,2
28/02/1973,2.55,1,2.55,2.55,-119.0518333,34.0178333,6,116226.61,19807.15118,1.414090992,0.379266389,0.30468144,0.270891813,1.00E-06,1
02/03/1973,3.08,6,2.675,16.05,-117.68175,34.99277777,4.89,35333.85167,51604.67091,4.242272976,0.986242708,0.870675199,0.26113215,1.00E-05,2
03/03/1973,3.79,2,3.025,6.05,-118.2861667,34.68275,3.19,43671.47,33721.49813,3.97394011,0.790191828,0.407057827,1.081873375,1.00E-05,2
05/03/1973,2.98,1,2.98,2.98,-119.0003333,34.0031667,6,133843.18,43982.98306,3.546308857,0.763697717,0.747196637,0.710657046,1.00E-06,2
07/03/1973,3.2,5,2.648,13.24,-117.9824333,34.06603332,5.25,42406.672,54244.46799,3.118677604,0.737203606,1.087335447,0.339440716,1.00E-05,2
08/03/1973,5.4,1,5.4,5.4,-116.027,37.103,0,58807.43,37571.69891,3.659445942,0.630584866,1.104639115,0.32528385,0.001,4
09/03/1973,2.85,2,2.63,5.26,-117.6588334,35.0216667,3.03,30166.655,20898.92983,4.20021428,0.523966125,1.121942783,0.311126984,1.00E-06,1
10/03/1973,2.55,1,2.55,2.55,-118.9586667,34.088,6,60319.82,37625.40285,4.723473298,0.384489312,1.043100342,0.212132034,1.00E-06,1
